Frequency_Hz,Reflection_Coefficient,Absorption_Coefficient,Attenuation_dB,Specific_Resistance_Ratio,Specific_Reactance_Ratio
380,0.7418734,0.4496239,2.593404,5.132425,2.837795
384,0.7416249,0.4499925,2.596314,5.330473,2.703309
388,0.7384187,0.4547378,2.633946,5.432888,2.531233
392,0.7348239,0.4600338,2.676335,5.438766,2.415041
396,0.7396313,0.4529455,2.619694,5.654286,2.377804
400,0.742429,0.4487991,2.586901,5.927762,2.199616
404,0.7419218,0.4495521,2.592838,5.989854,2.10669
408,0.7418341,0.4496822,2.593864,6.092044,1.972989
412,0.7390125,0.4538606,2.626965,6.158383,1.741581
416,0.738308,0.4549013,2.635248,6.226239,1.590446
420,0.7390899,0.4537461,2.626055,6.292322,1.513941
424,0.7393826,0.4533134,2.622616,6.433016,1.230719
428,0.7401463,0.4521835,2.613649,6.510692,1.087597
432,0.7404555,0.4517257,2.610021,6.531058,1.056049
436,0.7364704,0.4576113,2.656894,6.49101,0.7892761
440,0.7368449,0.4570596,2.652478,6.53523,0.6434224
444,0.7362152,0.4579872,2.659904,6.552412,0.4347177
448,0.730913,0.4657662,2.722687,6.42533,0.2125995
452,0.7326028,0.4632932,2.702629,6.479502,-0.006718941
456,0.731588,0.464779,2.714668,6.448051,-0.1414814
460,0.7296639,0.4675906,2.737543,6.379588,-0.3403196
464,0.7283256,0.4695418,2.753488,6.332552,-0.4246472
468,0.726354,0.4724098,2.777033,6.245073,-0.6223703
472,0.7266014,0.4720505,2.774076,6.232093,-0.7110095
476,0.7279475,0.4700925,2.757999,6.207969,-0.9319687
480,0.7243572,0.4753067,2.800945,6.097934,-0.9681022
484,0.723693,0.4762685,2.808913,6.010355,-1.154832
488,0.7211583,0.4799308,2.839389,5.891709,-1.268464
492,0.7181738,0.4842264,2.875409,5.796713,-1.299619
496,0.7167506,0.4862686,2.892639,5.711009,-1.393049
500,0.7178389,0.4847074,2.879461,5.642298,-1.562814
504,0.7189742,0.4830762,2.865734,5.522675,-1.784361
508,0.7165967,0.4864891,2.894504,5.462069,-1.775323
512,0.7141308,0.4900172,2.924445,5.371356,-1.803352
516,0.7139918,0.4902158,2.926136,5.235477,-1.959235
520,0.7054897,0.5022843,3.030187,5.068451,-1.88072
524,0.7055216,0.5022392,3.029793,5.016487,-1.937745
528,0.7059463,0.5016398,3.024567,5.013914,-1.952698
532,0.7061561,0.5013435,3.021985,4.855473,-2.110243
536,0.7034797,0.5051163,3.054969,4.699543,-2.175027
540,0.6953297,0.5165167,3.156185,4.518797,-2.130088
544,0.694433,0.5177628,3.167393,4.514507,-2.113585
548,0.6964256,0.5149914,3.142506,4.426385,-2.221397
552,0.6909127,0.5226397,3.211537,4.267467,-2.216904
556,0.6860721,0.5293051,3.272605,4.187804,-2.175834
560,0.6833531,0.5330285,3.307096,4.075069,-2.196399
564,0.6827471,0.5338564,3.314803,3.968109,-2.24712
568,0.6791422,0.5387658,3.360785,3.907337,-2.219816
572,0.6779252,0.5404174,3.376364,3.876465,-2.216408
576,0.6784244,0.5397404,3.369971,3.786908,-2.2694
580,0.6751989,0.5441064,3.411365,3.72331,-2.249948
584,0.6679232,0.5538785,3.505469,3.604444,-2.19765
588,0.6668022,0.5553749,3.52006,3.577518,-2.193819
592,0.6644933,0.5584486,3.550187,3.476313,-2.205087
596,0.6584419,0.5664543,3.629651,3.386326,-2.161616
600,0.66094,0.5631583,3.596759,3.264913,-2.236187
604,0.6593847,0.5652118,3.617222,3.242198,-2.224583
608,0.6538897,0.5724283,3.689911,3.185357,-2.177463
612,0.6513413,0.5757545,3.723828,3.150346,-2.159018
616,0.6493127,0.578393,3.750922,3.100434,-2.151314
620,0.6492209,0.5785123,3.752151,3.083531,-2.155272
624,0.6456462,0.583141,3.800108,3.00418,-2.138558
628,0.6410149,0.5890999,3.862638,2.948157,-2.10478
632,0.6375204,0.5935677,3.910118,2.925107,-2.074987
